education_id,education_level,field_of_study,university_ranking,region_of_study,gpa
8073,'Bachelor''s',Social Sciences,Medium,Canada,3.39
8074,Diploma,IT,Medium,EU,3.43
8075,'Bachelor''s',Health,High,EU,2.89
8076,'Master''s',IT,Medium,Canada,2.47
8077,Diploma,IT,High,EU,3.36
8078,'Bachelor''s',Social Sciences,High,EU,3.9
8079,'Master''s',Arts,Medium,Australia,2.92
8080,'Master''s',IT,High,EU,3.0
8081,PhD,IT,Low,UK,3.09
8082,PhD,Health,Medium,Australia,3.15
8083,PhD,Engineering,High,UK,3.49
8084,'Master''s',Health,Medium,EU,2.79
8085,'Bachelor''s',IT,Medium,Australia,3.31
8086,PhD,Social Sciences,Medium,Canada,2.98
8087,'Master''s',Business,Medium,Australia,2.74
8088,PhD,Health,Low,EU,2.97
8089,'Bachelor''s',Business,Low,Australia,2.78
8090,'Bachelor''s',Arts,Low,Australia,3.62
8091,'Bachelor''s',Engineering,High,Canada,3.66
8092,'Bachelor''s',Business,High,Canada,3.4
8093,'Bachelor''s',Health,High,Canada,3.24
8094,'Bachelor''s',Health,Medium,Australia,2.97
8095,'Bachelor''s',Social Sciences,High,Canada,3.43
8096,'Bachelor''s',Health,Medium,UK,2.76
8097,Diploma,Social Sciences,High,EU,3.31
8098,'Bachelor''s',Business,Medium,Canada,2.66
8099,'Master''s',IT,Medium,Canada,3.3
8100,'Master''s',Social Sciences,High,UK,3.18
8101,'Master''s',Arts,Medium,Australia,3.36
8102,'Bachelor''s',Social Sciences,Medium,UK,2.91
8103,'Master''s',Engineering,High,Canada,3.22
8104,'Bachelor''s',Social Sciences,Low,Australia,2.94
8105,'Master''s',Arts,High,EU,2.57
8106,'Master''s',Social Sciences,High,UK,2.5
8107,'Bachelor''s',Engineering,Low,EU,3.27
8108,'Master''s',Social Sciences,Medium,Canada,3.43
8109,'Bachelor''s',IT,High,UK,2.93
8110,'Master''s',Engineering,High,EU,3.55
8111,'Bachelor''s',Social Sciences,Medium,UK,3.43
8112,'Master''s',Social Sciences,Medium,EU,2.79
8113,'Master''s',Health,Low,UK,2.75
8114,'Bachelor''s',Engineering,High,EU,2.99
8115,Diploma,Arts,High,UK,3.37
8116,'Master''s',Health,Medium,Canada,2.62
8117,'Master''s',Arts,Low,UK,3.92
8118,PhD,IT,High,UK,3.09
8119,'Bachelor''s',Health,Medium,Australia,2.91
8120,'Master''s',Health,Low,EU,3.38
8121,'Bachelor''s',Arts,Low,Australia,3.1
8122,Diploma,Arts,Medium,EU,3.02
8123,PhD,IT,Medium,UK,2.99
8124,'Master''s',Social Sciences,High,EU,3.2
8125,PhD,Business,High,UK,3.28
8126,'Master''s',Arts,High,Australia,3.23
8127,'Bachelor''s',IT,High,EU,3.33
8128,PhD,Health,Low,Canada,3.22
8129,'Master''s',Social Sciences,Medium,Canada,3.16
8130,'Bachelor''s',Social Sciences,High,EU,2.0
8131,PhD,IT,High,EU,3.3
8132,'Master''s',Social Sciences,High,EU,3.49
8133,PhD,Business,Medium,UK,3.92
8134,PhD,Social Sciences,Medium,Australia,3.07
8135,'Master''s',Engineering,Low,Canada,3.23
8136,'Bachelor''s',Business,High,EU,2.96
8137,'Bachelor''s',IT,Medium,Australia,2.88
8138,'Bachelor''s',Arts,Medium,UK,3.88
8139,'Master''s',IT,Low,Canada,2.95
8140,'Bachelor''s',IT,High,Canada,3.64
8141,'Bachelor''s',Business,Medium,UK,3.31
8142,'Master''s',Arts,High,UK,3.0
8143,'Bachelor''s',Engineering,High,EU,3.76
8144,'Master''s',Business,Medium,Canada,3.56
8145,PhD,Engineering,Low,EU,2.76
8146,'Bachelor''s',Business,Low,Australia,2.6
8147,PhD,Social Sciences,Medium,EU,3.4
8148,'Master''s',Health,High,Australia,3.29
8149,'Bachelor''s',Business,Low,EU,2.84
8150,'Master''s',IT,High,UK,2.01
8151,'Master''s',Business,High,EU,3.51
8152,'Bachelor''s',Social Sciences,High,Canada,3.39
8153,'Master''s',Health,High,Australia,3.5
8154,PhD,Social Sciences,Low,EU,3.33
8155,'Bachelor''s',Business,Low,UK,2.59
8156,'Master''s',Social Sciences,Low,Australia,2.4
8157,'Master''s',Business,Medium,EU,3.56
8158,'Bachelor''s',Social Sciences,Low,EU,2.8
8159,'Bachelor''s',IT,Medium,Canada,3.19
8160,'Master''s',IT,High,UK,2.84
8161,PhD,Arts,High,UK,2.82
8162,'Master''s',Business,High,UK,2.85
8163,'Master''s',Engineering,Low,Australia,3.18
8164,'Master''s',IT,High,UK,2.66
8165,'Master''s',Social Sciences,Medium,Canada,2.92
8166,PhD,Engineering,Medium,Canada,3.35
8167,'Bachelor''s',IT,High,EU,3.08
8168,'Bachelor''s',Health,Medium,Canada,3.64
8169,'Bachelor''s',Business,High,UK,2.93
8170,PhD,Health,Low,EU,2.91
8171,PhD,Arts,High,UK,3.23
8172,Diploma,Health,High,EU,2.93
8173,'Master''s',Health,High,EU,3.27
8174,'Bachelor''s',Social Sciences,High,UK,2.49
8175,'Bachelor''s',Engineering,Low,UK,3.28
8176,'Master''s',Social Sciences,Medium,UK,2.25
8177,'Master''s',Social Sciences,High,EU,3.7
8178,'Master''s',IT,High,Canada,3.22
8179,PhD,Social Sciences,Medium,EU,2.71
8180,'Master''s',Arts,Low,Australia,2.86
8181,'Master''s',IT,Low,UK,3.61
8182,'Bachelor''s',IT,High,EU,3.06
8183,'Master''s',Arts,Low,Canada,3.48
8184,Diploma,Business,Medium,EU,3.17
8185,'Master''s',Social Sciences,High,Canada,1.62
8186,'Bachelor''s',Social Sciences,Low,EU,2.76
8187,'Master''s',Business,High,Australia,2.58
8188,'Master''s',Engineering,Medium,UK,2.92
8189,'Bachelor''s',Health,Low,EU,3.68
8190,'Bachelor''s',Health,Low,UK,3.16
8191,'Master''s',Business,Medium,Canada,2.88
8192,'Bachelor''s',Arts,Medium,EU,3.35
8193,'Bachelor''s',Engineering,Low,EU,2.81
8194,'Master''s',Arts,High,Canada,3.05
8195,'Bachelor''s',Arts,High,UK,2.64
8196,'Bachelor''s',Engineering,Medium,EU,3.1
8197,Diploma,Health,Low,UK,3.05
8198,'Master''s',Health,Low,Australia,3.87
8199,'Bachelor''s',Business,Medium,EU,2.54
8200,'Bachelor''s',Health,Medium,EU,3.1
8201,'Bachelor''s',IT,High,Canada,3.56
8202,Diploma,Health,Low,UK,3.39
8203,'Master''s',Health,High,Australia,3.15
8204,PhD,Social Sciences,High,Canada,2.94
8205,'Bachelor''s',Arts,Medium,Australia,2.7
8206,'Master''s',Business,Medium,Canada,3.06
8207,'Master''s',Arts,High,EU,3.11
8208,'Bachelor''s',Social Sciences,High,UK,3.25
8209,'Master''s',Social Sciences,Medium,UK,2.93
8210,'Bachelor''s',Health,High,EU,3.05
8211,'Master''s',IT,Medium,EU,3.81
8212,'Bachelor''s',Health,High,UK,3.02
8213,PhD,Business,High,Australia,3.39
8214,'Master''s',Health,Medium,EU,2.68
8215,'Bachelor''s',IT,Low,EU,3.65
8216,Diploma,Health,Medium,Canada,3.17
8217,'Bachelor''s',Social Sciences,Medium,Canada,3.2
8218,'Master''s',Arts,Low,Canada,3.53
8219,'Master''s',IT,High,Canada,3.45
8220,'Master''s',IT,High,Australia,3.58
8221,'Bachelor''s',Engineering,Low,Canada,3.28
8222,Diploma,Social Sciences,Medium,Canada,3.63
8223,'Master''s',Arts,Medium,EU,2.49
8224,'Bachelor''s',Engineering,Medium,EU,3.51
8225,'Master''s',Business,High,UK,3.13
8226,'Master''s',Health,Medium,EU,2.5
8227,'Bachelor''s',Health,Medium,UK,2.87
8228,PhD,Health,Medium,Australia,3.18
8229,'Master''s',Arts,Medium,Canada,3.64
8230,Diploma,Arts,High,UK,3.53
8231,PhD,Health,High,Australia,2.43
8232,'Master''s',Arts,High,UK,2.81
8233,'Bachelor''s',Engineering,Medium,UK,2.97
8234,'Bachelor''s',Arts,Low,UK,3.46
8235,PhD,Arts,High,EU,2.9
8236,PhD,Social Sciences,Low,UK,3.01
8237,Diploma,Health,High,Canada,2.97
8238,'Master''s',Business,Low,Canada,2.5
8239,'Bachelor''s',Engineering,High,UK,3.45
8240,'Master''s',IT,High,EU,3.03
8241,Diploma,Engineering,High,Australia,3.19
8242,PhD,Health,Medium,UK,3.51
8243,'Bachelor''s',Business,Low,EU,3.77
8244,'Master''s',Arts,Medium,EU,2.83
8245,'Bachelor''s',Engineering,Low,Canada,3.17
8246,'Bachelor''s',Health,High,Australia,3.34
8247,Diploma,Business,High,UK,2.88
8248,'Bachelor''s',Arts,High,Canada,3.46
8249,'Bachelor''s',Engineering,Medium,Australia,3.34
8250,Diploma,Social Sciences,Medium,EU,3.36
8251,PhD,Health,Medium,Australia,2.46
8252,PhD,Business,Medium,Canada,3.0
8253,'Master''s',Health,High,Australia,3.76
8254,'Master''s',Engineering,Low,UK,3.03
8255,'Bachelor''s',Business,High,Canada,3.13
8256,'Master''s',Social Sciences,Medium,UK,3.03
8257,'Bachelor''s',Health,High,Canada,3.54
8258,PhD,Health,Medium,Canada,3.07
8259,'Bachelor''s',Arts,Medium,Australia,2.82
8260,'Master''s',Engineering,Low,Australia,3.03
8261,'Master''s',IT,Low,UK,3.78
8262,'Master''s',IT,Medium,EU,3.43
8263,Diploma,Engineering,Low,Australia,3.22
8264,'Bachelor''s',Arts,Medium,UK,3.31
8265,PhD,Engineering,Low,Canada,2.73
8266,PhD,Health,Medium,EU,3.19
8267,'Bachelor''s',Arts,High,Australia,3.55
8268,Diploma,Engineering,High,UK,2.85
8269,Diploma,Social Sciences,Low,Australia,3.4
8270,'Master''s',Health,Medium,Australia,3.31
8271,'Bachelor''s',Business,Medium,EU,3.73
8272,PhD,Engineering,High,EU,2.59
8273,'Master''s',Arts,High,Australia,2.97
8274,PhD,IT,Medium,Australia,3.3
8275,PhD,Business,Medium,Australia,3.52
8276,'Bachelor''s',Health,Low,UK,3.41
8277,Diploma,Arts,High,Australia,3.23
8278,'Bachelor''s',Arts,Medium,Canada,2.91
8279,'Bachelor''s',Engineering,High,Canada,3.83
8280,'Master''s',Business,High,UK,2.4
8281,PhD,Social Sciences,Medium,EU,2.82
8282,'Bachelor''s',Engineering,Medium,EU,3.07
8283,'Bachelor''s',Social Sciences,Low,Australia,3.34
8284,'Bachelor''s',Arts,High,Canada,3.93
8285,'Bachelor''s',Engineering,Medium,Canada,3.44
8286,Diploma,IT,High,Canada,3.32
8287,'Bachelor''s',Social Sciences,High,EU,3.23
8288,'Master''s',Business,Medium,EU,2.83
8289,PhD,Engineering,Medium,UK,3.45
8290,'Bachelor''s',Business,Medium,EU,2.74
8291,'Master''s',Arts,Medium,Canada,3.77
8292,'Master''s',IT,Medium,Australia,2.79
8293,'Bachelor''s',Business,High,EU,2.95
8294,PhD,Arts,High,Canada,2.92
8295,'Bachelor''s',Arts,High,Canada,3.07
8296,'Bachelor''s',Health,Low,EU,3.3
8297,'Bachelor''s',Social Sciences,Medium,Australia,3.3
8298,'Bachelor''s',Engineering,High,UK,3.61
8299,PhD,Engineering,Medium,Canada,2.88
8300,'Bachelor''s',IT,Medium,Canada,3.32
8301,'Master''s',Social Sciences,Medium,UK,2.61
8302,'Bachelor''s',Health,High,UK,4.0
8303,'Bachelor''s',Engineering,Medium,UK,3.21
8304,Diploma,Business,High,Australia,2.75
8305,'Bachelor''s',Arts,High,Canada,2.89
8306,'Bachelor''s',IT,Medium,UK,3.36
8307,'Bachelor''s',Engineering,Low,Australia,3.7
8308,PhD,Social Sciences,Medium,UK,2.46
8309,'Master''s',IT,Medium,EU,3.29
8310,'Bachelor''s',Business,High,UK,3.11
8311,PhD,Business,Low,Australia,2.98
8312,'Bachelor''s',Business,Medium,UK,2.98
8313,Diploma,Health,Low,Australia,3.15
8314,'Master''s',Arts,High,Australia,3.17
8315,Diploma,IT,Low,UK,3.45
8316,'Bachelor''s',Business,High,UK,3.99
8317,'Bachelor''s',Social Sciences,High,Canada,2.9
8318,PhD,Social Sciences,Medium,UK,2.78
8319,PhD,Health,Medium,Canada,3.35
8320,'Master''s',IT,High,EU,3.62
8321,PhD,Social Sciences,Low,EU,3.17
8322,'Bachelor''s',Social Sciences,High,Canada,3.61
8323,'Bachelor''s',Business,High,EU,3.94
8324,'Master''s',Social Sciences,Medium,EU,3.46
8325,'Bachelor''s',IT,Medium,EU,3.08
8326,'Bachelor''s',Business,High,Australia,2.88
8327,'Master''s',Engineering,Low,EU,3.01
8328,'Bachelor''s',Social Sciences,Low,UK,3.78
8329,'Master''s',Business,Medium,EU,2.11
8330,PhD,Business,High,EU,3.82
8331,'Bachelor''s',Arts,High,Australia,2.74
8332,'Master''s',IT,Medium,Canada,2.73
8333,'Master''s',Engineering,Medium,Australia,2.83
8334,Diploma,IT,High,Canada,3.59
8335,PhD,Social Sciences,High,EU,3.86
8336,'Bachelor''s',Social Sciences,Low,UK,3.18
8337,'Bachelor''s',Social Sciences,Medium,Canada,3.48
8338,PhD,Health,Medium,EU,3.29
8339,'Master''s',IT,Low,Australia,2.86
8340,'Bachelor''s',Engineering,Low,Australia,3.26
8341,'Master''s',Business,Low,Australia,2.89
8342,Diploma,Arts,Medium,Australia,2.75
8343,'Bachelor''s',Health,Low,Australia,3.91
8344,Diploma,Business,Low,EU,3.43
8345,'Bachelor''s',IT,Medium,EU,3.75
8346,Diploma,Health,Medium,EU,3.89
8347,PhD,IT,Medium,Canada,3.76
8348,PhD,Health,High,EU,2.76
8349,'Bachelor''s',IT,Low,Canada,3.14
8350,'Master''s',Social Sciences,Low,EU,3.26
8351,'Bachelor''s',Business,Low,Canada,3.21
8352,'Bachelor''s',IT,High,Australia,3.44
8353,'Bachelor''s',Engineering,Low,EU,3.21
8354,'Bachelor''s',Arts,High,EU,2.99
8355,'Master''s',Engineering,Medium,EU,3.7
8356,'Master''s',Health,Medium,EU,3.33
8357,'Master''s',Arts,Low,EU,3.04
8358,Diploma,Business,Medium,UK,2.99
8359,Diploma,Health,High,UK,3.62
8360,PhD,Arts,Medium,UK,3.79
8361,'Bachelor''s',Social Sciences,High,UK,3.44
8362,PhD,Health,High,Canada,2.58
8363,'Master''s',Engineering,Medium,Canada,2.4
8364,'Bachelor''s',Arts,Medium,Australia,3.14
8365,Diploma,IT,High,UK,2.94
8366,'Bachelor''s',Arts,Medium,EU,3.54
8367,'Bachelor''s',IT,High,EU,2.38
8368,Diploma,Business,Medium,EU,3.22
8369,'Bachelor''s',Business,Medium,UK,2.83
8370,'Bachelor''s',Health,Low,UK,3.67
8371,'Master''s',Health,Low,Canada,3.2
8372,'Bachelor''s',Business,Medium,UK,3.08
8373,PhD,IT,Medium,Canada,2.86
8374,'Master''s',Arts,Medium,Canada,3.35
8375,PhD,IT,Medium,EU,3.21
8376,'Master''s',Social Sciences,Medium,EU,3.7
8377,PhD,Health,Medium,EU,3.24
8378,'Master''s',IT,High,UK,3.61
8379,Diploma,Arts,Medium,Australia,3.39
8380,'Master''s',IT,Low,UK,3.36
8381,'Bachelor''s',Health,Medium,Canada,2.83
8382,'Bachelor''s',IT,High,Canada,3.68
8383,PhD,Health,High,EU,3.77
8384,'Bachelor''s',Health,Low,Canada,3.21
8385,'Bachelor''s',Health,Low,UK,3.36
8386,'Bachelor''s',IT,High,Canada,3.12
8387,PhD,Social Sciences,High,Australia,2.6
8388,'Bachelor''s',IT,Medium,UK,3.42
8389,'Master''s',Social Sciences,High,UK,2.97
8390,'Bachelor''s',IT,High,EU,3.23
8391,'Bachelor''s',Health,High,UK,2.97
8392,'Master''s',Health,Medium,Canada,3.1
8393,'Master''s',Health,Low,EU,3.81
8394,PhD,Arts,Medium,Canada,3.87
8395,'Bachelor''s',Engineering,Medium,EU,2.49
8396,'Master''s',Engineering,Medium,UK,3.19
8397,Diploma,Business,Low,Canada,3.33
8398,'Master''s',Business,Medium,Canada,3.4
8399,Diploma,Social Sciences,Medium,Canada,2.76
8400,Diploma,Engineering,Low,EU,2.92
8401,'Bachelor''s',Health,Low,UK,3.78
8402,'Master''s',Engineering,High,Australia,2.62
8403,'Bachelor''s',Arts,High,Canada,3.89
8404,PhD,Social Sciences,Medium,Canada,3.02
8405,PhD,Arts,Medium,Canada,2.63
8406,'Master''s',Business,Medium,Canada,2.86
8407,'Bachelor''s',Arts,Low,UK,3.45
8408,'Master''s',Arts,Low,Canada,3.65
8409,PhD,Social Sciences,High,EU,3.8
8410,'Master''s',Arts,Low,EU,3.5
8411,'Master''s',Arts,Medium,EU,2.55
8412,'Bachelor''s',Engineering,Medium,EU,2.87
8413,'Master''s',Engineering,Medium,EU,3.0
8414,PhD,Engineering,High,Australia,3.25
8415,'Master''s',Business,High,EU,3.49
8416,Diploma,Arts,Low,UK,3.14
8417,'Bachelor''s',Arts,Medium,EU,3.77
8418,'Master''s',Social Sciences,Medium,Canada,2.78
8419,Diploma,Health,High,Canada,3.62
8420,'Bachelor''s',Social Sciences,Medium,Australia,2.57
8421,PhD,Health,Medium,Canada,2.9
8422,'Master''s',IT,Medium,Australia,3.07
8423,'Master''s',Health,Medium,Canada,3.11
8424,Diploma,Health,Medium,Australia,3.01
8425,Diploma,Engineering,Medium,Australia,3.37
8426,'Master''s',IT,High,Canada,2.43
8427,'Master''s',Engineering,Medium,Canada,2.81
8428,PhD,Engineering,High,UK,2.88
8429,PhD,Social Sciences,High,Canada,3.59
8430,'Bachelor''s',Business,High,UK,2.88
8431,'Master''s',Business,High,EU,3.09
8432,'Master''s',Social Sciences,Low,UK,3.2
8433,'Bachelor''s',Business,High,EU,3.01
8434,'Bachelor''s',Health,High,UK,2.84
8435,'Bachelor''s',Health,Medium,Canada,3.68
8436,PhD,Arts,High,EU,3.08
8437,PhD,Health,High,Canada,2.76
8438,PhD,IT,Medium,Canada,3.39
8439,'Bachelor''s',IT,Medium,EU,3.14
8440,'Bachelor''s',Engineering,Medium,EU,3.9
8441,'Master''s',Health,High,Australia,3.66
8442,'Bachelor''s',Social Sciences,Medium,EU,2.62
8443,PhD,Health,High,UK,2.91
8444,'Bachelor''s',Business,High,UK,2.75
8445,'Master''s',Business,High,Canada,2.48
8446,Diploma,IT,Medium,EU,3.21
8447,PhD,IT,High,EU,2.97
8448,'Master''s',Engineering,Low,Australia,3.9
8449,'Master''s',Engineering,Medium,EU,3.01
8450,'Bachelor''s',Health,Medium,EU,3.05
8451,'Master''s',IT,Medium,UK,3.64
8452,PhD,Arts,High,Australia,2.81
8453,'Bachelor''s',Social Sciences,Medium,Canada,3.55
8454,Diploma,Engineering,Medium,Canada,3.46
8455,Diploma,Engineering,Medium,Canada,2.84
8456,'Master''s',Business,Medium,EU,2.62
8457,PhD,Engineering,High,UK,3.11
8458,'Master''s',Social Sciences,Medium,UK,2.92
8459,'Bachelor''s',IT,High,Canada,3.73
8460,PhD,Business,Low,Australia,3.86
8461,'Bachelor''s',Social Sciences,High,Australia,3.16
8462,'Master''s',Business,Medium,UK,3.36
8463,'Bachelor''s',Social Sciences,Medium,Canada,2.62
8464,PhD,Arts,High,Australia,2.43
8465,'Bachelor''s',Arts,Medium,EU,2.86
8466,'Master''s',Arts,High,Australia,3.57
8467,'Master''s',Health,Medium,UK,2.16
8468,Diploma,Health,High,UK,3.39
8469,'Master''s',Arts,Medium,Australia,3.83
8470,Diploma,Arts,Medium,EU,2.47
8471,'Bachelor''s',Business,Medium,UK,3.6
8472,'Bachelor''s',Health,Medium,UK,3.0
8473,'Master''s',Business,Medium,EU,3.22
8474,'Master''s',Business,Medium,Canada,2.36
8475,'Master''s',IT,Low,UK,2.97
8476,Diploma,Engineering,Medium,UK,2.28
8477,'Master''s',Arts,Medium,Australia,2.91
8478,'Master''s',Social Sciences,Medium,UK,2.82
8479,'Bachelor''s',Arts,Low,UK,3.78
8480,'Bachelor''s',Arts,Medium,UK,2.97
8481,'Bachelor''s',Business,Medium,Canada,3.75
8482,'Master''s',IT,Low,EU,3.3
8483,PhD,Business,Medium,Australia,3.06
8484,'Bachelor''s',Business,Medium,UK,3.09
8485,'Bachelor''s',IT,Low,Australia,2.9
8486,'Bachelor''s',Health,Medium,UK,3.54
8487,PhD,Business,High,Australia,2.67
8488,Diploma,IT,High,EU,2.52
8489,'Master''s',IT,Low,Canada,3.55
8490,PhD,Social Sciences,Low,UK,2.45
8491,'Bachelor''s',Health,Medium,Australia,2.52
8492,'Master''s',IT,High,Canada,2.98
8493,'Master''s',Social Sciences,Medium,EU,3.34
8494,'Bachelor''s',Health,Medium,Australia,3.17
8495,'Master''s',Health,Medium,Canada,2.39
8496,Diploma,Engineering,High,Australia,3.55
8497,'Master''s',Business,Medium,Australia,2.59
8498,PhD,Business,High,EU,2.58
8499,'Bachelor''s',Arts,High,EU,2.66
8500,PhD,IT,High,EU,3.4
8501,'Master''s',Arts,Medium,Canada,3.34
8502,'Bachelor''s',Social Sciences,Medium,UK,3.33
8503,'Bachelor''s',Social Sciences,High,Canada,2.32
8504,'Master''s',Engineering,Medium,Canada,3.03
8505,PhD,Health,High,UK,3.39
8506,PhD,Business,Low,Australia,3.0
8507,Diploma,Health,Low,UK,3.57
8508,Diploma,Engineering,High,EU,3.96
8509,'Bachelor''s',Health,Medium,UK,3.42
8510,'Bachelor''s',Engineering,Medium,EU,3.49
8511,'Master''s',Engineering,High,UK,2.96
8512,'Bachelor''s',Arts,Low,EU,3.11
8513,'Bachelor''s',Business,High,EU,3.2
8514,'Master''s',Business,Medium,UK,3.77
8515,'Master''s',Arts,High,UK,3.59
8516,'Master''s',Health,Medium,Australia,3.53
8517,'Master''s',Arts,Medium,UK,3.21
8518,PhD,Social Sciences,Low,Canada,2.84
8519,'Bachelor''s',Business,Medium,EU,3.53
8520,'Master''s',Arts,High,Australia,3.3
8521,'Bachelor''s',Health,Medium,EU,3.4
8522,'Bachelor''s',Engineering,High,Australia,3.11
8523,PhD,Business,High,UK,2.8
8524,'Master''s',Arts,Low,EU,3.82
8525,'Master''s',Business,High,EU,2.52
8526,'Master''s',Health,Medium,EU,3.18
8527,'Bachelor''s',Engineering,Low,EU,3.45
8528,'Master''s',IT,Medium,UK,3.92
8529,'Master''s',Engineering,Medium,EU,3.86
8530,Diploma,Engineering,Low,Canada,2.82
8531,'Bachelor''s',Business,High,EU,2.78
8532,PhD,Business,Medium,Australia,2.7
8533,'Bachelor''s',Engineering,High,Canada,2.28
8534,'Bachelor''s',IT,Low,UK,2.41
8535,'Bachelor''s',Health,Medium,UK,2.81
8536,'Bachelor''s',Social Sciences,Medium,Australia,2.56
8537,'Master''s',Social Sciences,Low,UK,3.61
8538,PhD,Social Sciences,High,Canada,2.46
8539,'Master''s',Arts,Low,Canada,3.32
8540,PhD,Health,High,EU,2.93
8541,'Master''s',Arts,Medium,UK,3.47
8542,Diploma,Arts,Low,EU,3.14
8543,'Master''s',Arts,Medium,Australia,2.9
8544,'Master''s',Engineering,Medium,UK,3.63
8545,'Bachelor''s',Arts,Medium,EU,2.43
8546,'Master''s',Arts,High,UK,3.12
8547,'Bachelor''s',Arts,High,Canada,3.14
8548,'Bachelor''s',IT,High,UK,3.94
8549,PhD,IT,High,EU,3.28
8550,Diploma,Arts,Low,EU,2.71
8551,'Master''s',Social Sciences,High,Canada,2.41
8552,'Bachelor''s',Arts,High,Australia,3.54
8553,'Master''s',Health,Low,Australia,2.69
8554,'Bachelor''s',Business,Low,Canada,3.03
8555,Diploma,IT,Medium,EU,2.93
8556,'Master''s',Arts,Medium,UK,3.29
8557,'Bachelor''s',Social Sciences,Medium,Canada,2.48
8558,'Bachelor''s',IT,Medium,Australia,3.32
8559,'Bachelor''s',Arts,High,EU,3.47
8560,'Bachelor''s',IT,Low,UK,3.48
8561,'Bachelor''s',Health,High,EU,3.02
8562,'Master''s',Social Sciences,Low,Australia,3.02
8563,'Bachelor''s',IT,Medium,Canada,3.15
8564,'Bachelor''s',Business,High,Canada,3.01
8565,'Bachelor''s',IT,High,EU,2.6
8566,'Master''s',IT,High,Canada,2.8
8567,'Master''s',Engineering,Medium,Australia,3.47
8568,'Bachelor''s',IT,High,Canada,3.2
8569,PhD,IT,High,UK,3.69
8570,'Master''s',Business,High,Canada,3.5
8571,PhD,Business,High,EU,3.4
8572,Diploma,Social Sciences,Medium,Australia,2.84
8573,'Master''s',Engineering,Medium,Canada,2.54
8574,'Master''s',IT,Medium,EU,3.42
8575,'Bachelor''s',Health,Medium,Canada,3.42
8576,'Bachelor''s',Arts,Medium,Australia,3.25
8577,'Bachelor''s',Business,High,Australia,2.42
8578,'Bachelor''s',Social Sciences,High,UK,3.7
8579,'Bachelor''s',Health,Medium,EU,3.08
8580,Diploma,Arts,Medium,EU,3.5
8581,'Bachelor''s',Arts,High,Australia,2.86
8582,'Bachelor''s',Health,Medium,UK,3.38
8583,PhD,Business,High,Canada,3.33
8584,'Master''s',Health,High,UK,3.26
8585,PhD,Business,High,Canada,3.27
8586,Diploma,Engineering,Medium,Canada,3.29
8587,'Bachelor''s',Business,Medium,Canada,2.77
8588,'Bachelor''s',Arts,Medium,Canada,3.28
8589,'Master''s',Engineering,Low,Canada,3.31
8590,Diploma,Social Sciences,Medium,Canada,2.8
8591,'Master''s',Business,Medium,Australia,3.66
8592,Diploma,Business,High,EU,2.85
8593,'Bachelor''s',Arts,Low,UK,2.66
8594,'Master''s',IT,Medium,Canada,2.77
8595,PhD,Business,Low,EU,3.13
8596,'Master''s',Social Sciences,Low,UK,3.39
8597,'Bachelor''s',Health,High,EU,3.6
8598,Diploma,Social Sciences,Medium,Australia,3.21
8599,'Bachelor''s',IT,Medium,Australia,3.42
8600,PhD,IT,Medium,UK,2.91
8601,'Bachelor''s',Business,Medium,UK,3.52
8602,PhD,Business,Medium,Australia,3.56
8603,'Master''s',Health,Medium,Canada,2.98
8604,'Master''s',IT,Medium,Canada,3.06
8605,'Bachelor''s',Engineering,Medium,Australia,3.85
8606,Diploma,Social Sciences,Medium,UK,3.21
8607,'Bachelor''s',Social Sciences,Medium,EU,3.35
8608,'Bachelor''s',Arts,High,Canada,3.42
8609,'Bachelor''s',Business,Low,EU,3.83
8610,'Master''s',IT,High,UK,3.0
8611,'Master''s',Social Sciences,Medium,EU,3.09
8612,'Master''s',Health,Medium,EU,3.95
8613,PhD,Social Sciences,High,Canada,3.54
8614,'Master''s',Engineering,Medium,Australia,2.64
8615,'Bachelor''s',Social Sciences,Medium,UK,3.26
8616,'Bachelor''s',IT,Medium,UK,2.45
8617,'Master''s',IT,Medium,UK,3.67
8618,'Bachelor''s',IT,Medium,Canada,3.5
8619,'Bachelor''s',Social Sciences,Medium,Canada,3.32
8620,'Master''s',Arts,Medium,Australia,3.88
8621,'Master''s',Arts,Low,EU,3.72
8622,'Bachelor''s',IT,Medium,Canada,3.64
8623,Diploma,Business,Low,EU,3.57
8624,'Bachelor''s',IT,High,Canada,2.81
8625,'Master''s',Arts,High,Canada,3.28
8626,'Master''s',Arts,Low,Australia,2.34
8627,'Bachelor''s',Business,Medium,Canada,3.27
8628,'Master''s',IT,High,Australia,3.82
8629,'Bachelor''s',Arts,Low,Australia,2.89
8630,'Bachelor''s',Business,Medium,Canada,2.67
8631,'Master''s',Social Sciences,High,UK,3.81
8632,'Master''s',Engineering,Medium,EU,3.59
8633,'Bachelor''s',Engineering,Medium,Australia,3.4
8634,'Bachelor''s',Business,High,Australia,3.21
8635,'Master''s',IT,High,EU,3.46
8636,Diploma,Health,Medium,Canada,3.88
8637,PhD,Social Sciences,Medium,Australia,3.41
8638,PhD,Business,Medium,EU,2.34
8639,'Bachelor''s',Social Sciences,Low,Australia,2.39
8640,'Master''s',IT,Medium,Australia,3.84
8641,PhD,Arts,High,EU,3.86
8642,'Master''s',Health,Medium,EU,3.14
8643,Diploma,Business,Low,Canada,3.22
8644,'Bachelor''s',Health,Medium,Australia,3.89
8645,'Bachelor''s',IT,Medium,Australia,2.59
